"WEBjve href","NBa7we src","d4r55","RfnDt","RfnDt 2","rsqaWe","DU9Pgb","wiI7pd","w8nwRe","dSlJg src","Hzvxle","pkWtMe","dSlJg src 2","znYl0","znYl0 2"
"https://www.google.com/maps/contrib/115071636430410661709/reviews?hl=es-419","https://lh3.googleusercontent.com/a/AEdFTp72cwogeLrHP9d81O_TYLd35NtHQxfd0oDHqPpY=w36-h36-p-c0x00000000-rp-mo-br100","Debora Couto","Local Guide","1 reseña","Hace un año","Nueva","(Traducción de Google) Las tapas son tan pequeñas que solo la más grande cabe en cualquier recipiente.…","Más","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Me gusta","17","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Compartir",""
"https://www.google.com/maps/contrib/117499828352481220259/reviews?hl=es-419","https://lh3.googleusercontent.com/a/AEdFTp67JAz45coy4CW2ACaMGNbs42PO4tmgaAPGt-ob=w36-h36-p-c0x00000000-rp-mo-br100","Valdir Schindler","Local Guide","1 reseña","Hace 4 meses","Nueva","(Traducción de Google) Mi nombre es Valdir Schindler y quisiera dar mi testimonio sobre esta empresa altamente deshonesta, torcida y sin credibilidad, el hecho es que compre un soporte Thule para 3 motos a través de la web de Americanas, el…","Más","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Me gusta","31","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Compartir",""
"https://www.google.com/maps/contrib/100361708477660277404/reviews?hl=es-419","https://lh3.googleusercontent.com/a/AEdFTp4Y60pGdE8xvep3-OITMllDeb56QyedkGTFHtOX=w36-h36-p-c0x00000000-rp-mo-br100","Paloma Barsí Mariotti Pah","Local Guide","2 reseñas","Hace 3 meses","Nueva","(Traducción de Google) ¡Mala experiencia!
Compré una piel sintética para suturas, que usaría para una clase práctica en mi universidad, el producto llegó mal (no pude asistir a la clase), llevé el…","Más","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Me gusta","17","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Compartir",""
"https://www.google.com/maps/contrib/118378577399212058748/reviews?hl=es-419","https://lh3.googleusercontent.com/a-/AD5-WCmGMa2ZKEtJ54RBhiNe2fE1pELzsoXqNimC2Heb0A=w36-h36-p-c0x00000000-rp-mo-br100","Bruno d'Andrea","Local Guide","7 reseñas","Hace un mes","Nueva","(Traducción de Google) Hice la compra de 3 ventiladores de Arno el 30 de noviembre con mi tarjeta de crédito, MASSS 5 minutos después pedí la cancelación porque se suponía que la compra era en PIX. Hice una nueva compra de 3 ventiladores en…","Más","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Me gusta","1","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Compartir",""
"https://www.google.com/maps/contrib/106492824508749648408/reviews?hl=es-419","https://lh3.googleusercontent.com/a/AEdFTp5pYaLoWqhTIDzh-SM7MFM0RkZmgAzI9D8nTxqB=w36-h36-p-c0x00000000-rp-mo-br100","Bárbara Kristensen","Local Guide","6 reseñas","Hace 3 meses","Nueva","(Traducción de Google) Hice una compra en Mercado Libre de arena para mis gatos. El tiempo de entrega fue de 4 días. Por eso lo compré allí. El día de la supuesta entrega recibí el seguimiento ampliando el plazo por DIEZ DÍAS más. Envié un…","Más","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Me gusta","10","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Compartir",""
"https://www.google.com/maps/contrib/110987060974612266032/reviews?hl=es-419","https://lh3.googleusercontent.com/a/AEdFTp51TEPSdzHnT76kZSXeZnHJGCklMxk6ueKFKY-i=w36-h36-p-c0x00000000-rp-mo-br100","Oreste Baraldi","Local Guide","6 reseñas","4 semanas atrás","Nueva","(Traducción de Google) Hice un pedido y una compra a través del sitio web de Mercado Livre y no solo no recibí mi artículo a tiempo, ¡sino que también me cobraron un costo de envío equivalente al valor del artículo! ¡¡Esto es absurdo y una…","Más","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Me gusta","1","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Compartir",""
"https://www.google.com/maps/contrib/116649609266567343863/reviews?hl=es-419","https://lh3.googleusercontent.com/a-/AD5-WCnrL3wQFpSgEXiU4cgpPXgC1KI9mCGFZze-sH2Igw=w36-h36-p-c0x00000000-rp-mo-br100","Brenna Larissa","Local Guide","8 reseñas","Hace 3 meses","Nueva","(Traducción de Google) Compré en esta tienda a través de Casas Bahia, recibí un producto falsificado, de mala calidad y no acorde con el anuncio. El mismo día que recibí el producto, solicité la cancelación de la compra para devolver el…","Más","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Me gusta","10","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Compartir",""
"https://www.google.com/maps/contrib/110823749446034547063/reviews?hl=es-419","https://lh3.googleusercontent.com/a/AEdFTp4kwvrHIF9eFfAL_q3EWk3E9A2MewjYRnbqn9F3=w36-h36-p-c0x00000000-rp-mo-br100","Luiz Couto","Local Guide","1 reseña","Hace 3 meses","Nueva","(Traducción de Google) Horrible, en mi primera venta con Olist, tuve un problema, llevo una semana intentando solucionarlo y el soporte es pésimo. Hubo un error al generar la factura, un error en su sistema, porque el anuncio era de un…","Más","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Me gusta","9","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Compartir",""
"https://www.google.com/maps/contrib/108798615646271307895/reviews?hl=es-419","https://lh3.googleusercontent.com/a-/AD5-WCkZhIr_zMVhQq-dyr0bB_k08LlcTdyYY5L6zoYP=w36-h36-p-c0x00000000-rp-mo-ba3-br100","Pablo Aguiar","Local Guide","· 33 reseñas","Hace un mes","Nueva","(Traducción de Google) Esta empresa me envió una tarjeta Micro SD de SanDisk que no es original.…","Más","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Me gusta","4","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Compartir",""
"https://www.google.com/maps/contrib/118053123417654466982/reviews?hl=es-419","https://lh3.googleusercontent.com/a-/AD5-WClvHv9PoRiWkHJ34nK-qyFZl-VixaYianRPWXLc=w36-h36-p-c0x00000000-rp-mo-br100","Giovanni Patelli","Local Guide","4 reseñas","Hace un mes","Nueva","(Traducción de Google) La peor empresa posible.
Compré un producto que necesitaba en talla P, me enviaron en talla L
Aun ante tanto descuido me orientan a devolver y cancelar la compra.…","Más","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Me gusta","3","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Compartir",""
