d4r55,RfnDt,RfnDt 2,rsqaWe,DU9Pgb,wiI7pd,Hzvxle,znYl0 2
Teddy Hughes,Local Guide,5 reseñas,Hace un año,Nueva,"articulo de excelente calidad, entrega muito rápida.",Me gusta,
Elizabeth de Souza e Silva,Local Guide,4 reseñas,Hace un año,Nueva,excelente experiencia,Me gusta,
Guilherme Santa Brigida,Local Guide,· 41 reseñas,Hace un año,Nueva,mucho bueno....,,Me gusta
hector fabio hurtado cardona,Local Guide,1 reseña,Hace un año,Nueva,👏…,,Me gusta
Debora Couto,Local Guide,1 reseña,Hace un año,Nueva,las tapas son tan pequeñas que solo la más grande cabe en cualquier recipiente.…,Me gusta,
Valdir Schindler,Local Guide,1 reseña,Hace 4 meses,Nueva,"mi nombre es valdir schindler y quisiera dar mi testimonio sobre esta empresa altamente deshonesta, torcida y sin credibilidad, el hecho es que compre un soporte thule para 3 motos a través de la web de americanas, el…",Me gusta,
Paloma Barsí Mariotti Pah,Local Guide,2 reseñas,Hace 3 meses,Nueva,"¡mala experiencia!
compré una piel sintética para suturas, que usaría para una clase práctica en mi universidad, el producto llegó mal (no pude asistir a la clase), llevé el…",Me gusta,
Sebastião Oliveira,Local Guide,· 32 reseñas,Hace un mes,Nueva,"tengo un problema con olist a través de mercado livre, faltaba una de las 10 tumbonas que compré con ustedes, un artículo pequeño y la denuncia es interminable en el sitio web de mercado livre, para este simple…",Me gusta,
Bruno d'Andrea,Local Guide,7 reseñas,Hace un mes,Nueva,"hice la compra de 3 ventiladores de arno el 30 de noviembre con mi tarjeta de crédito, masss 5 minutos después pedí la cancelación porque se suponía que la compra era en pix. hice una nueva compra de 3 ventiladores en…",Me gusta,
Bárbara Kristensen,Local Guide,6 reseñas,Hace 3 meses,Nueva,hice una compra en mercado libre de arena para mis gatos. el tiempo de entrega fue de 4 días. por eso lo compré allí. el día de la supuesta entrega recibí el seguimiento ampliando el plazo por diez días más. envié un…,Me gusta,
jhakare jhack,Local Guide,1 reseña,Hace 5 meses,Nueva,"muy buen producto, ya compre aqui la entrega fue muy bien antes del plazo, estoy satisfecho con la empresa, con un gran servicio, sigue asi atraeras mas clientes a la tienda…",,Me gusta
Oreste Baraldi,Local Guide,6 reseñas,4 semanas atrás,Nueva,"hice un pedido y una compra a través del sitio web de mercado livre y no solo no recibí mi artículo a tiempo, ¡sino que también me cobraron un costo de envío equivalente al valor del artículo! ¡¡esto es absurdo y una…",Me gusta,
Brenna Larissa,Local Guide,8 reseñas,Hace 3 meses,Nueva,"compré en esta tienda a través de casas bahia, recibí un producto falsificado, de mala calidad y no acorde con el anuncio. el mismo día que recibí el producto, solicité la cancelación de la compra para devolver el…",Me gusta,
Luiz Couto,Local Guide,1 reseña,Hace 3 meses,Nueva,"horrible, en mi primera venta con olist, tuve un problema, llevo una semana intentando solucionarlo y el soporte es pésimo. hubo un error al generar la factura, un error en su sistema, porque el anuncio era de un…",Me gusta,
Pablo Aguiar,Local Guide,· 33 reseñas,Hace un mes,Nueva,esta empresa me envió una tarjeta micro sd de sandisk que no es original.…,Me gusta,
Giovanni Patelli,Local Guide,4 reseñas,Hace un mes,Nueva,"la peor empresa posible.
compré un producto que necesitaba en talla p, me enviaron en talla l
aun ante tanto descuido me orientan a devolver y cancelar la compra.…",Me gusta,
Rudolf Megert,Local Guide,6 reseñas,Hace 4 meses,Nueva,"esta empresa promete un tiempo de entrega de 3 días en portales como ponto etc. - pero no entrega correctamente dentro del tiempo especificado, si es que lo hace, ya que esta empresa es solo otro intermediario que no…",Me gusta,
financeiro textil,Local Guide,4 reseñas,Hace 4 meses,Nueva,lo compre por americanas y se demora la entrega... al principio fue entre el 12 y el 13/09. lleva desde el día 9 con el transportista y no ha llegado nada... y no hay un servicio humanizado para ti... está todo…,Me gusta,
Rafael Martins,Local Guide,4 reseñas,Hace un mes,Nueva,"esta empresa es pésima, no compréis que os vais a meter en líos. retrasaron mi entrega y además no contestan mis llamadas.…",Me gusta,
Rafaela Martins,Local Guide,3 reseñas,2 semanas atrás,,"compré un lavabo a través de la web de magalu, y ustedes serían los encargados de entregar el producto, fecha límite hasta el 04/01 y aparece en la app entregada el 30/12 donde nadie recibió ninguna mercancía.…",,Me gusta
Daniela Bonfa,Local Guide,3 reseñas,Hace un mes,Nueva,"lo compre por la pagina americana, no habia visto el nombre del socio, decia que entregaria el 02/12 y hasta ahora nada, solo emitieron la factura el 29/11 pero todavia no la han despachado y no contestan…",Me gusta,
Fabiana Passarin,Local Guide,4 reseñas,Hace un mes,Nueva,"ya y la segunda compra entregada por olist, que no completa correctamente. el primero vino con el número equivocado, pedí el cambio y me devolvieron el dinero alegando que no lo tenían en stock, pero seguía existiendo…",Me gusta,
Rauer Duarte,Local Guide,· 71 reseñas,Hace 2 meses,Nueva,"simplemente no doy cero porque no lo hay.
chicos, estad atentos. vaya a quejar aquí y vea el número de quejas. olist es traspasado. lo compre por mercado livre, me lo enviaron mal, hice la devolución y…",Me gusta,
Chris Nogueira,Local Guide,16 reseñas,Hace un mes,Nueva,"compré un reloj de escritorio negro, llegó rojo horrible. por americanas no hay ninguna solicitud para reclamar al respecto. en olist no hay forma de quejarse, solo envíe un correo electrónico y el correo electrónico…",Me gusta,
Amanda Romano,Local Guide,11 reseñas,Hace 4 meses,Nueva,"¡mala compañía! compré un producto juntos en lojas americanas, pero olist es quien lo vende. el producto llego defectuoso. me hicieron devolverlo y esperar a que llegara el producto, llego unos dias mas tarde y…",Me gusta,
Paulo Nascimento,Local Guide,· 72 reseñas,Hace 2 meses,Nueva,"buen día,
soy nuevo en la plataforma y estoy indignado por la falta de atencion a mi empresa, ni despues de hacer una denuncia en el anuncio aqui me dieron atencion,…",Me gusta,
CAÇULA TV,Local Guide,1 reseña,Hace un mes,Nueva,"horrible, me dieron la computadora, pero el monitor tenía una línea vertical, que todo indica que fue mal transportado! ¡decepcionante! ahora tendré que esperar otros 5 días para recibir mi monitor... ¡apelaré si se…",Me gusta,
Vera Lucia,Local Guide,1 reseña,Hace 5 meses,Nueva,"gran producto, fue entregado a tiempo, vendedor súper atento, felicidades volveré a comprar.…",,Me gusta
Yasmin Marchiori,Local Guide,4 reseñas,Hace un mes,Nueva,"compré un juguete para un niño menor de 1 año y, además de haber enviado el producto en el color equivocado, llegó en una caja de lejía. si compre el juguete de marca y recomendaciones para niños por que me lo llego…",Me gusta,
Matheus Oliveira,Local Guide,1 reseña,una semana atrás,,"estaba insatisfecho no solo por la demora de 5 días de mi producto, sino también por haber sido informado de la situación solo al final del supuesto día de entrega. no quiero volver a hacer ningún otro negocio con…",,Me gusta
